Name,Description,Price,Scent_Family,Scent_Family_2,Intensity,Website_Link
Abercrombie & Fitch COASTLINE MUSK,"A serene blend of musk, cedar and aqua highlight an unmistakable and addictive, modern scent for any occasion",68,Woody,Watery,4,https://shorturl.at/cAB29
Abercrombie & Fitch AMBER COVE,"A serene blend of amber, cedarwood and oak highlight an unmistakable and addictive, modern scent for any occasion.",68,Ambery,Fruity,4,https://shorturl.at/dmxOZ
Abercrombie & Fitch CITRUS WOODS,"A serene blend of citrus, bergamot and sage highlight an unmistakable and addictive, modern scent for any occasion",68,Woody,Citrus,4,https://shorturl.at/jvBGT
Abercrombie & Fitch AWAY WEEKEND MAN,"A refreshing, relaxing scent to enjoy your weekend away.",60,Aromatic Fougere,Citrus,3,https://shorturl.at/mqzJ9
Abercrombie & Fitch FIERCE NIGHT,An aromatic blend of lavender and zesty bergamot - a night you’ll never forget.,84,Aromatic Fougere,Citrus,2,https://shorturl.at/aBCL3
Abercrombie & Fitch Authentic Night,"A sultry mix of blackberry and tobacco, capturing the essence of a mysterious twilight adventure.",35,Leather,Citrus,3,https://tinyurl.com/bddvre8s
Abercrombie & Fitch First Instinct Together For Him,First Instinct Together for Him is a spontaneous and innovative fragrance for the refined A&F man.,37,Woody,Ambery,3,https://tinyurl.com/3caa6e5p
Abercrombie & Fitch and Fitch Authentic For Men,"A crisp fusion of grapefruit and ginger, embodying the spirit of a refreshing and energetic day.",30,Aromatic Fougere,Spicy,3,https://tinyurl.com/3vwcdahj
Abercrombie & Fitch First Instinct Blue ,"The perfume of a younger generation full of strength, energetic, and courageous.",40,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/43zrfvt3
Abercrombie & Fitch First Instinct Extreme ,"A bold combination of pepper and amber, designed to evoke a powerful and unforgettable impression.",47,Leather,Citrus,4,https://tinyurl.com/2yfb8rzz
Abercrombie & Fitch Fierce,"An iconic blend of musk and fir, exuding the raw energy of a confident and invigorating presence",80,Aromatic Fougere,Citrus,2,https://tinyurl.com/mwb4u8hy
Abercrombie & Fitch Ellwood,"A refreshing harmony of mint and lemon, perfect for conveying a sense of cool, understated elegance.",68,Citrus,Citrus,4,https://tinyurl.com/bjwphyc9
Abercrombie & Fitch Fierce Reserve,"A robust concoction of sage and oakmoss, offering a deeper, more intense take on classic masculinity.",84,Aromatic Fougere,Aromatic Fougere,2,https://tinyurl.com/2fh93crv
Abercrombie & Fitch Woods Cologne,"A rich blend of leather and vetiver, this fragrance captures the essence of a serene walk through a lush forest.",58,Woody,Citrus,2,https://tinyurl.com/mu4rx7h8
Acqua Di Parma Zafferano Collector Edition 2023,"A luxurious mix of saffron and rose, encapsulating the opulence and warmth of an Italian sunset.",284,Floral,Ambery,4,https://tinyurl.com/ycyf49ez
Acqua Di Parma Magnolia Infinita," A delicate fusion of magnolia and citrus, evoking the freshness of an eternal spring morning.",100,Floral,Musk Skin,4,https://tinyurl.com/yeb6uw65
Acqua Di Parma  Zafferano,"An exquisite combination of saffron and sandalwood, creating a rich and exotic aroma that captivates the senses.",150,Floral,Ambery,4,https://tinyurl.com/3fjaruf6
